date,year,quarter_num,quarter,arrivals
2000-01-01,2000.0,1,Quarter 1,2255227.0
2000-04-01,2000.0,2,Quarter 2,2771514.0
2000-07-01,2000.0,3,Quarter 3,2354963.0
2000-10-01,2000.0,4,Quarter 4,2839878.0
2001-01-01,2001.0,1,Quarter 1,3635308.0
2001-04-01,2001.0,2,Quarter 2,3705774.0
2001-07-01,2001.0,3,Quarter 3,3202697.0
2001-10-01,2001.0,4,Quarter 4,2331294.0
2002-01-01,2002.0,1,Quarter 1,3093737.0
2002-04-01,2002.0,2,Quarter 2,3556622.0
2002-07-01,2002.0,3,Quarter 3,3328535.0
2002-10-01,2002.0,4,Quarter 4,3331116.0
2003-01-01,2003.0,1,Quarter 1,2875147.0
2003-04-01,2003.0,2,Quarter 2,1716688.0
2003-07-01,2003.0,3,Quarter 3,2522789.0
2003-10-01,2003.0,4,Quarter 4,3459291.0
2004-01-01,2004.0,1,Quarter 1,3978521.0
2004-04-01,2004.0,2,Quarter 2,3910896.0
2004-07-01,2004.0,3,Quarter 3,3821838.0
2004-10-01,2004.0,4,Quarter 4,3992151.0
2005-01-01,2005.0,1,Quarter 1,4159857.0
2005-04-01,2005.0,2,Quarter 2,4007941.0
2005-07-01,2005.0,3,Quarter 3,4045969.0
2005-10-01,2005.0,4,Quarter 4,4217288.0
2006-01-01,2006.0,1,Quarter 1,4379338.0
2006-04-01,2006.0,2,Quarter 2,4184883.0
2006-07-01,2006.0,3,Quarter 3,4338957.0
2006-10-01,2006.0,4,Quarter 4,4643685.0
2007-01-01,2007.0,1,Quarter 1,5280094.0
2007-04-01,2007.0,2,Quarter 2,5410332.0
2007-07-01,2007.0,3,Quarter 3,4957866.0
2007-10-01,2007.0,4,Quarter 4,5324530.0
2008-01-01,2008.0,1,Quarter 1,5342291.0
2008-04-01,2008.0,2,Quarter 2,5620829.0
2008-07-01,2008.0,3,Quarter 3,5366735.0
2008-10-01,2008.0,4,Quarter 4,5722633.0
2009-01-01,2009.0,1,Quarter 1,5460184.0
2009-04-01,2009.0,2,Quarter 2,5886260.0
2009-07-01,2009.0,3,Quarter 3,6031596.0
2009-10-01,2009.0,4,Quarter 4,6268151.0
2010-01-01,2010.0,1,Quarter 1,5751808.0
2010-04-01,2010.0,2,Quarter 2,6116295.0
2010-07-01,2010.0,3,Quarter 3,6366983.0
2010-10-01,2010.0,4,Quarter 4,6342110.0
2011-01-01,2011.0,1,Quarter 1,5540382.0
2011-04-01,2011.0,2,Quarter 2,5822480.0
2011-07-01,2011.0,3,Quarter 3,6667141.0
2011-10-01,2011.0,4,Quarter 4,6684321.0
2012-01-01,2012.0,1,Quarter 1,5562538.0
2012-04-01,2012.0,2,Quarter 2,6069940.0
2012-07-01,2012.0,3,Quarter 3,6521165.0
2012-10-01,2012.0,4,Quarter 4,6879065.0
2013-01-01,2013.0,1,Quarter 1,6449398.0
2013-04-01,2013.0,2,Quarter 2,6103333.0
2013-07-01,2013.0,3,Quarter 3,6203745.0
2013-10-01,2013.0,4,Quarter 4,6958984.0
2014-01-01,2014.0,1,Quarter 1,7091433.0
2014-04-01,2014.0,2,Quarter 2,6783613.0
2014-07-01,2014.0,3,Quarter 3,6736736.0
2014-10-01,2014.0,4,Quarter 4,6825533.0
2015-01-01,2015.0,1,Quarter 1,6482696.0
2015-04-01,2015.0,2,Quarter 2,4190812.0
2015-07-01,2015.0,3,Quarter 3,6482924.0
2015-10-01,2015.0,4,Quarter 4,6671027.0
2016-01-01,2016.0,1,Quarter 1,6665980.0
2016-04-01,2016.0,2,Quarter 2,6366795.0
2016-07-01,2016.0,3,Quarter 3,6697155.0
2016-10-01,2016.0,4,Quarter 4,7027462.0
2017-01-01,2017.0,1,Quarter 1,6631669.0
2017-04-01,2017.0,2,Quarter 2,6319397.0
2017-07-01,2017.0,3,Quarter 3,6484869.0
2017-10-01,2017.0,4,Quarter 4,6512524.0
2018-01-01,2018.0,1,Quarter 1,6520218.0
2018-04-01,2018.0,2,Quarter 2,6210150.0
2018-07-01,2018.0,3,Quarter 3,6655747.0
2018-10-01,2018.0,4,Quarter 4,6446239.0
2019-01-01,2019.0,1,Quarter 1,6696230.0
2019-04-01,2019.0,2,Quarter 2,6658345.0
2019-07-01,2019.0,3,Quarter 3,6754628.0
2019-10-01,2019.0,4,Quarter 4,5991581.0
2020-01-01,2020.0,1,Quarter 1,4233455.0
2020-04-01,2020.0,2,Quarter 2,19542.0
2020-07-01,2020.0,3,Quarter 3,46422.0
2020-10-01,2020.0,4,Quarter 4,33303.0
2021-01-01,2021.0,1,Quarter 1,25256.0
2021-04-01,2021.0,2,Quarter 2,25357.0
2021-07-01,2021.0,3,Quarter 3,22696.0
2021-10-01,2021.0,4,Quarter 4,61419.0
2022-01-01,2022.0,1,Quarter 1,98053.0
2022-04-01,2022.0,2,Quarter 2,2034107.0
2022-07-01,2022.0,3,Quarter 3,3424121.0
2022-10-01,2022.0,4,Quarter 4,4514683.0
2023-01-01,2023.0,1,Quarter 1,4387602.0
2023-04-01,2023.0,2,Quarter 2,0.0
2023-07-01,2023.0,3,Quarter 3,0.0
2023-10-01,2023.0,4,Quarter 4,0.0
