year,state,international_hotel_guests,occupancy_rate,shapeName
2015,Johor,2565092.0,58.5,Johor
2015,Kedah,1207824.0,54.9,Kedah
2015,Kelantan,58327.0,40.9,Kelantan
2015,Kuala Lumpur,9341801.0,67.1,Kuala Lumpur
2015,Labuan,114140.0,66.2,Labuan
2015,Melaka,1809489.0,63.3,Malacca
2015,Negeri Sembilan,456013.0,47.9,Negeri Sembilan
2015,Pahang,2328815.0,79.3,Pahang
2015,Penang,2879899.0,63.7,Penang
2015,Perak,265794.0,51.3,Perak
2015,Perlis,5921.0,44.4,Perlis
2015,Putrajaya,151740.0,65.7,Putrajaya
2015,Sabah,1986136.0,64.2,Sabah
2015,Sarawak,599400.0,57.9,Sarawak
2015,Selangor,1613299.0,64.7,Selangor
2015,Terengganu,187388.0,48.7,Terengganu
2016,Johor,2581983.0,61.0,Johor
2016,Kedah,1281471.0,59.5,Kedah
2016,Kelantan,57664.0,43.8,Kelantan
2016,Kuala Lumpur,9436404.0,66.1,Kuala Lumpur
2016,Labuan,111815.0,55.3,Labuan
2016,Melaka,1804544.0,59.9,Malacca
2016,Negeri Sembilan,459966.0,52.8,Negeri Sembilan
2016,Pahang,2369945.0,74.6,Pahang
2016,Penang,2911783.0,63.9,Penang
2016,Perak,267517.0,49.0,Perak
2016,Perlis,5946.0,36.5,Perlis
2016,Putrajaya,166473.0,70.6,Putrajaya
2016,Sabah,2036610.0,64.5,Sabah
2016,Sarawak,599985.0,53.4,Sarawak
2016,Selangor,1624265.0,62.4,Selangor
2016,Terengganu,192530.0,45.0,Terengganu
2017,Johor,2624972.0,62.5,Johor
2017,Kedah,1407261.0,60.3,Kedah
2017,Kelantan,57337.0,43.8,Kelantan
2017,Kuala Lumpur,10717479.0,66.1,Kuala Lumpur
2017,Labuan,105710.0,52.6,Labuan
2017,Melaka,1704386.0,60.0,Malacca
2017,Negeri Sembilan,461788.0,55.7,Negeri Sembilan
2017,Pahang,2563991.0,75.7,Pahang
2017,Penang,2911429.0,62.1,Penang
2017,Perak,267245.0,46.3,Perak
2017,Perlis,5943.0,35.4,Perlis
2017,Putrajaya,177602.0,73.9,Putrajaya
2017,Sabah,2548491.0,65.3,Sabah
2017,Sarawak,599812.0,52.6,Sarawak
2017,Selangor,1688659.0,60.3,Selangor
2017,Terengganu,188044.0,45.2,Terengganu
2018,Johor,2615254.0,58.7,Johor
2018,Kedah,1589344.0,56.1,Kedah
2018,Kelantan,54074.0,44.1,Kelantan
2018,Kuala Lumpur,11602079.0,63.3,Kuala Lumpur
2018,Labuan,89643.0,46.2,Labuan
2018,Melaka,1555103.0,57.3,Malacca
2018,Negeri Sembilan,459279.0,54.2,Negeri Sembilan
2018,Pahang,2686594.0,78.8,Pahang
2018,Penang,3016491.0,62.2,Penang
2018,Perak,291253.0,44.1,Perak
2018,Perlis,5910.0,31.0,Perlis
2018,Putrajaya,188740.0,72.1,Putrajaya
2018,Sabah,3108364.0,67.2,Sabah
2018,Sarawak,560512.0,48.9,Sarawak
2018,Selangor,1998361.0,57.2,Selangor
2018,Terengganu,179556.0,39.9,Terengganu
2019,Johor,2548685.0,57.3,Johor
2019,Kedah,1583215.0,55.7,Kedah
2019,Kelantan,49211.0,43.4,Kelantan
2019,Kuala Lumpur,10931619.0,59.9,Kuala Lumpur
2019,Labuan,75447.0,42.2,Labuan
2019,Melaka,1465372.0,51.7,Malacca
2019,Negeri Sembilan,459539.0,51.9,Negeri Sembilan
2019,Pahang,2754449.0,79.4,Pahang
2019,Penang,2848750.0,56.5,Penang
2019,Perak,293256.0,43.9,Perak
2019,Perlis,5700.0,36.0,Perlis
2019,Putrajaya,178498.0,64.2,Putrajaya
2019,Sabah,3057376.0,65.8,Sabah
2019,Sarawak,539599.0,46.1,Sarawak
2019,Selangor,1866153.0,56.4,Selangor
2019,Terengganu,179324.0,41.3,Terengganu
2020,Johor,418237.0,32.0,Johor
2020,Kedah,375582.0,26.1,Kedah
2020,Kelantan,4520.0,34.6,Kelantan
2020,Kuala Lumpur,1584088.0,25.1,Kuala Lumpur
2020,Labuan,21737.0,43.0,Labuan
2020,Melaka,180422.0,20.0,Malacca
2020,Negeri Sembilan,66437.0,25.5,Negeri Sembilan
2020,Pahang,517572.0,40.7,Pahang
2020,Penang,526295.0,23.7,Penang
2020,Perak,55135.0,25.8,Perak
2020,Perlis,1113.0,22.5,Perlis
2020,Putrajaya,20874.0,40.6,Putrajaya
2020,Sabah,486344.0,24.3,Sabah
2020,Sarawak,100257.0,30.3,Sarawak
2020,Selangor,322618.0,30.2,Selangor
2020,Terengganu,19796.0,32.4,Terengganu
2021,Johor,10180.0,24.9,Johor
2021,Kedah,7890.0,23.2,Kedah
2021,Kelantan,1790.0,34.3,Kelantan
2021,Kuala Lumpur,41797.0,23.6,Kuala Lumpur
2021,Labuan,2003.0,27.7,Labuan
2021,Melaka,10445.0,25.8,Malacca
2021,Negeri Sembilan,8511.0,22.7,Negeri Sembilan
2021,Pahang,7631.0,19.6,Pahang
2021,Penang,11190.0,22.5,Penang
2021,Perak,4554.0,27.6,Perak
2021,Perlis,88.0,22.3,Perlis
2021,Putrajaya,1443.0,28.1,Putrajaya
2021,Sabah,3246.0,21.8,Sabah
2021,Sarawak,9466.0,49.6,Sarawak
2021,Selangor,66829.0,30.9,Selangor
2021,Terengganu,1677.0,44.3,Terengganu
2022,Johor,2039675.0,48.3,Johor
2022,Kedah,589439.0,32.5,Kedah
2022,Kelantan,36969.0,46.4,Kelantan
2022,Kuala Lumpur,4281244.0,49.0,Kuala Lumpur
2022,Labuan,31025.0,35.3,Labuan
2022,Melaka,536249.0,40.1,Malacca
2022,Negeri Sembilan,89048.0,38.7,Negeri Sembilan
2022,Pahang,1689554.0,46.1,Pahang
2022,Penang,1256628.0,44.1,Penang
2022,Perak,333306.0,54.8,Perak
2022,Perlis,4709.0,42.0,Perlis
2022,Putrajaya,56610.0,51.2,Putrajaya
2022,Sabah,677103.0,45.2,Sabah
2022,Sarawak,618251.0,57.4,Sarawak
2022,Selangor,1572497.0,53.7,Selangor
2022,Terengganu,86846.0,55.3,Terengganu
