year,product,expenditure_rm_million
2000,Accommodation services,5686.0
2000,Country-specific tourism characteristic goods,4004.5
2000,Country-specific tourism characteristic services,710.8
2000,"Cultural, sports and recreational services",866.8
2000,Food and beverage serving services,3380.4
2000,Passenger transport services,1958.9
2000,Travel agencies and other reservation services,728.1
2001,Accommodation services,8453.3
2001,Country-specific tourism characteristic goods,5183.4
2001,Country-specific tourism characteristic services,1114.2
2001,"Cultural, sports and recreational services",1138.4
2001,Food and beverage serving services,4020.8
2001,Passenger transport services,3415.2
2001,Travel agencies and other reservation services,896.2
2002,Accommodation services,9435.9
2002,Country-specific tourism characteristic goods,5310.9
2002,Country-specific tourism characteristic services,747.7
2002,"Cultural, sports and recreational services",1185.9
2002,Food and beverage serving services,4769.5
2002,Passenger transport services,3532.0
2002,Travel agencies and other reservation services,799.2
2003,Accommodation services,8388.7
2003,Country-specific tourism characteristic goods,4407.3
2003,Country-specific tourism characteristic services,489.7
2003,"Cultural, sports and recreational services",851.6
2003,Food and beverage serving services,3491.7
2003,Passenger transport services,2661.4
2003,Travel agencies and other reservation services,1000.7
2004,Accommodation services,9251.2
2004,Country-specific tourism characteristic goods,6641.9
2004,Country-specific tourism characteristic services,1008.3
2004,"Cultural, sports and recreational services",1838.4
2004,Food and beverage serving services,5159.3
2004,Passenger transport services,4477.3
2004,Travel agencies and other reservation services,1275.0
2005,Accommodation services,10704.6
2005,Country-specific tourism characteristic goods,6646.5
2005,Country-specific tourism characteristic services,990.5
2005,"Cultural, sports and recreational services",1278.2
2005,Food and beverage serving services,6358.9
2005,Passenger transport services,4952.9
2005,Travel agencies and other reservation services,1022.5
2006,Accommodation services,12840.2
2006,Country-specific tourism characteristic goods,9321.8
2006,Country-specific tourism characteristic services,471.6
2006,"Cultural, sports and recreational services",1342.1
2006,Food and beverage serving services,6782.8
2006,Passenger transport services,4787.8
2006,Travel agencies and other reservation services,725.4
2007,Accommodation services,14235.6
2007,Country-specific tourism characteristic goods,12254.6
2007,Country-specific tourism characteristic services,921.4
2007,"Cultural, sports and recreational services",1428.2
2007,Food and beverage serving services,8338.7
2007,Passenger transport services,6864.4
2007,Travel agencies and other reservation services,2027.1
2008,Accommodation services,15463.1
2008,Country-specific tourism characteristic goods,13282.4
2008,Country-specific tourism characteristic services,941.7
2008,"Cultural, sports and recreational services",1486.8
2008,Food and beverage serving services,8772.3
2008,Passenger transport services,7582.9
2008,Travel agencies and other reservation services,2032.0
2009,Accommodation services,16573.8
2009,Country-specific tourism characteristic goods,15103.1
2009,Country-specific tourism characteristic services,1007.5
2009,"Cultural, sports and recreational services",1594.0
2009,Food and beverage serving services,9290.5
2009,Passenger transport services,7527.8
2009,Travel agencies and other reservation services,2271.0
2010,Accommodation services,17343.2
2010,Country-specific tourism characteristic goods,16213.3
2010,Country-specific tourism characteristic services,1355.8
2010,"Cultural, sports and recreational services",1751.3
2010,Food and beverage serving services,9716.7
2010,Passenger transport services,12413.0
2010,Travel agencies and other reservation services,2429.2
2011,Accommodation services,17961.3
2011,Country-specific tourism characteristic goods,17494.8
2011,Country-specific tourism characteristic services,1399.6
2011,"Cultural, sports and recreational services",2216.0
2011,Food and beverage serving services,9797.1
2011,Passenger transport services,11946.0
2011,Travel agencies and other reservation services,2682.5
2012,Accommodation services,18651.5
2012,Country-specific tourism characteristic goods,18590.9
2012,Country-specific tourism characteristic services,1635.0
2012,"Cultural, sports and recreational services",1816.7
2012,Food and beverage serving services,9689.1
2012,Passenger transport services,12273.8
2012,Travel agencies and other reservation services,2422.3
2013,Accommodation services,19829.3
2013,Country-specific tourism characteristic goods,19763.9
2013,Country-specific tourism characteristic services,1897.9
2013,"Cultural, sports and recreational services",2028.7
2013,Food and beverage serving services,8180.4
2013,Passenger transport services,17023.6
2013,Travel agencies and other reservation services,2356.0
2014,Accommodation services,21815.6
2014,Country-specific tourism characteristic goods,21599.6
2014,Country-specific tourism characteristic services,2520.0
2014,"Cultural, sports and recreational services",1656.0
2014,Food and beverage serving services,10439.8
2014,Passenger transport services,17428.5
2014,Travel agencies and other reservation services,2664.0
2015,Accommodation services,17656.4
2015,Country-specific tourism characteristic goods,22934.4
2015,Country-specific tourism characteristic services,2573.3
2015,"Cultural, sports and recreational services",2117.7
2015,Food and beverage serving services,9727.4
2015,Passenger transport services,12952.3
2015,Retail sale of automotive fuel,622.1
2015,Travel agencies and other reservation services,4008.9
2016,Accommodation services,20142.5
2016,Country-specific tourism characteristic goods,24912.0
2016,Country-specific tourism characteristic services,2674.4
2016,"Cultural, sports and recreational services",2329.8
2016,Food and beverage serving services,10190.2
2016,Passenger transport services,14011.7
2016,Retail sale of automotive fuel,632.1
2016,Travel agencies and other reservation services,4433.3
2017,Accommodation services,21034.2
2017,Country-specific tourism characteristic goods,26868.0
2017,Country-specific tourism characteristic services,2752.8
2017,"Cultural, sports and recreational services",2439.9
2017,Food and beverage serving services,10928.0
2017,Passenger transport services,14297.4
2017,Retail sale of automotive fuel,575.2
2017,Travel agencies and other reservation services,4026.1
2018,Accommodation services,21622.8
2018,Country-specific tourism characteristic goods,28101.2
2018,Country-specific tourism characteristic services,2737.7
2018,"Cultural, sports and recreational services",2263.8
2018,Food and beverage serving services,11274.1
2018,Passenger transport services,14639.4
2018,Retail sale of automotive fuel,589.0
2018,Travel agencies and other reservation services,3702.0
2019,Accommodation services,22007.3
2019,Country-specific tourism characteristic goods,28674.2
2019,Country-specific tourism characteristic services,2304.8
2019,"Cultural, sports and recreational services",2421.2
2019,Food and beverage serving services,11517.1
2019,Passenger transport services,15456.2
2019,Retail sale of automotive fuel,447.7
2019,Travel agencies and other reservation services,3878.0
2020,Accommodation services,3144.0
2020,Country-specific tourism characteristic goods,4473.9
2020,Country-specific tourism characteristic services,385.0
2020,"Cultural, sports and recreational services",374.7
2020,Food and beverage serving services,1907.2
2020,Passenger transport services,2297.3
2020,Retail sale of automotive fuel,22.8
2020,Travel agencies and other reservation services,552.4
